Target,Date,MJD,Lane Count,Total Size (GB),Path,Header Path
J0030+0451,2024-10-03 00:30:51,60586.021423611106,4,767.0812410404906,/mnt/ucc1_recording1/data/observations/20241002T180100/20241003003051J0030+0451,/mnt/ucc4_data2/data/David/hdrs/mode5/J0030+0451.sigprochdr
J2145-0750,2024-10-02 20:10:51,60585.84086805556,4,563.3060296792537,/mnt/ucc1_recording1/data/observations/20241002T180100/20241002201051J2145-0750,/mnt/ucc4_data2/data/David/hdrs/mode5/J2145-0750.sigprochdr
J1022+1001,2024-01-17 02:59:51,60326.12489583333,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240116T120000/20240117025951J1022+1001_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/J1022+1001.sigprochdr
B0329+54,2024-01-17 01:59:51,60326.08322916667,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240116T120000/20240117015951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-16 21:59:51,60325.9165625,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240116T120000/20240116215951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-17 03:39:51,60326.15267361111,4,67.15521470550448,/mnt/ucc1_recording1/data/observations/20240116T120000/20240117033951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-17 09:59:51,60326.4165625,4,262.9103581653908,/mnt/ucc1_recording1/data/observations/20240116T120000/20240117095951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-17 00:04:51,60326.00336805556,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240116T120000/20240117000451B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
J0034-0534,2024-01-16 15:43:00,60325.65486111111,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240116T120000/20240116154300J0034-0534_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/J0034-0534.sigprochdr
B0329+54,2024-01-17 07:59:51,60326.33322916667,4,262.34104199148715,/mnt/ucc1_recording1/data/observations/20240116T120000/20240117075951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-16 20:34:51,60325.85753472222,4,230.56816910859197,/mnt/ucc1_recording1/data/observations/20240116T120000/20240116203451B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-17 06:59:51,60326.2915625,4,250.3062090538442,/mnt/ucc1_recording1/data/observations/20240116T120000/20240117065951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-17 10:59:51,60326.45822916667,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240116T120000/20240117105951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-17 08:59:51,60326.37489583333,4,257.8282489180565,/mnt/ucc1_recording1/data/observations/20240116T120000/20240117085951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-17 06:04:51,60326.25336805556,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240116T120000/20240117060451B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-16 15:59:51,60325.6665625,4,300.5347777456045,/mnt/ucc1_recording1/data/observations/20240116T120000/20240116155951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-16 16:59:51,60325.70822916667,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240116T120000/20240116165951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
B0329+54,2024-01-17 00:59:51,60326.0415625,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240116T120000/20240117005951B0329+54_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B0329+54.sigprochdr
GJ,2024-06-26 01:54:51,60487.07975694444,4,798.2294779587537,/mnt/ucc1_recording1/data/observations/20240625T195300/20240626015451GJ,Unknown
CR-Draconis,2024-06-26 03:15:51,60487.13600694445,4,370.355172094889,/mnt/ucc1_recording1/data/observations/20240625T195300/20240626031551CR-Draconis,Unknown
Crab,2024-06-26 10:59:51,60487.45822916667,4,292.0822976930067,/mnt/ucc1_recording1/data/observations/20240625T195300/20240626105951Crab_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/Crab.sigprochdr
J2113+73,2024-05-14 06:59:51,60444.2915625,4,800.8860438456759,/mnt/ucc1_recording1/data/observations/20240514T060000/20240514065951J2113+73,/mnt/ucc4_data2/data/David/hdrs/mode5/J2113+73.sigprochdr
J2145-0750,2024-05-14 06:29:51,60444.27072916667,4,24.511395131237805,/mnt/ucc1_recording1/data/observations/20240514T060000/20240514062951J2145-0750_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/J2145-0750.sigprochdr
Crab,2024-06-11 10:59:51,60472.45822916667,4,617.0778339309618,/mnt/ucc1_recording1/data/observations/20240611T060000/20240611105951Crab_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/Crab.sigprochdr
CR_Draconis,2024-03-06 06:24:51,60375.26725694444,4,827.4155075764284,/mnt/ucc1_recording1/data/observations/20240304T140000/20240306062451CR_Draconis,Unknown
TVLM_513-46,2024-03-06 03:59:51,60375.1665625,4,1079.8450664831325,/mnt/ucc1_recording1/data/observations/20240304T140000/20240306035951TVLM_513-46,/mnt/ucc4_data2/data/David/hdrs/mode5/TVLM_513-46.sigprochdr
J1744-1134,2024-05-21 23:29:51,60451.9790625,4,545.3824390685186,/mnt/ucc1_recording1/data/observations/20240521T200000/20240521232951J1744-1134,/mnt/ucc4_data2/data/David/hdrs/mode5/J1744-1134.sigprochdr
